################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 22:20:42 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
103, top_santiago_cpu.uu_mem.\mem_reg[2][4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
104, top_santiago_cpu.uu_mem.\mem_reg[2][5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
105, top_santiago_cpu.uu_mem.\mem_reg[2][6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
106, top_santiago_cpu.uu_mem.\mem_reg[2][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
107, top_santiago_cpu.uu_mem.\mem_reg[2][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
108, top_santiago_cpu.uu_mem.\mem_reg[2][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
109, top_santiago_cpu.uu_mem.\mem_reg[2][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
110, top_santiago_cpu.uu_mem.\mem_reg[2][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
111, top_santiago_cpu.uu_mem.\mem_reg[2][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
112, top_santiago_cpu.uu_mem.\mem_reg[2][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
113, top_santiago_cpu.uu_mem.\mem_reg[2][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
114, top_santiago_cpu.uu_mem.\mem_reg[2][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
115, top_santiago_cpu.uu_mem.\mem_reg[1][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
116, top_santiago_cpu.uu_mem.\mem_reg[1][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
117, top_santiago_cpu.uu_mem.\mem_reg[1][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
