################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 21:06:28 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow_netlist
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
41, top_santiago_cpu.uu_mem.mem_reg_1__9_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
42, top_santiago_cpu.uu_mem.mem_reg_1__8_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
43, top_santiago_cpu.uu_mem.mem_reg_1__7_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
44, top_santiago_cpu.uu_mem.mem_reg_1__6_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
45, top_santiago_cpu.uu_mem.mem_reg_1__5_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
46, top_santiago_cpu.uu_mem.mem_reg_1__4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
47, top_santiago_cpu.uu_mem.mem_reg_1__3_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
48, top_santiago_cpu.uu_mem.mem_reg_1__2_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
49, top_santiago_cpu.uu_mem.mem_reg_1__1_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
50, top_santiago_cpu.uu_mem.mem_reg_1__0_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
51, top_santiago_cpu.uu_mem.mem_reg_2__15_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
52, top_santiago_cpu.uu_mem.mem_reg_2__14_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
53, top_santiago_cpu.uu_mem.mem_reg_2__13_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
54, top_santiago_cpu.uu_mem.mem_reg_2__12_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
55, top_santiago_cpu.uu_mem.mem_reg_2__11_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
56, top_santiago_cpu.uu_mem.mem_reg_2__10_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
57, top_santiago_cpu.uu_mem.mem_reg_2__9_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
58, top_santiago_cpu.uu_mem.mem_reg_2__8_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
59, top_santiago_cpu.uu_mem.mem_reg_2__7_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
